n,bubble,selection,insertion,merge,quick,default,stream
9000,246741700,157453940,49672460,2716832,1595047,2025941,1852378
9050,377394142,158918158,132613990,3509842,1339560,1841866,1716276
9100,228035768,153694306,53435942,1992429,1376614,1687689,1902211
9150,335153967,304715739,97671565,3162078,1684319,1806130,2061014
9200,409193880,218053384,63495550,2385420,1727629,1796172,2301547
9250,289447282,160741548,65321981,4511393,1596972,1679202,1848262
9300,254294913,161462307,80671283,2409787,1209094,1730400,1858154
9350,259339367,162530034,59696242,2295422,1323315,2139217,3155622
9400,247136277,171678935,73628238,2418991,1607415,2001005,1978814
9450,271186502,168657831,69843436,2531583,1699529,1688202,1892687
9500,279613084,170526667,77191673,3488099,2949139,2354626,2297363
9550,416502950,171071881,125212041,3371932,1397237,1723714,1863621
9600,272853253,178481016,62816298,2446682,1410953,1711952,1914217
9650,270719728,172088140,83736099,2576347,1725632,2243139,2382871
9700,285145094,175270934,63724184,2481794,1668465,1911969,2171834
9750,281875310,177223964,68589268,2716152,1393541,1759237,2113228
9800,286445379,183345769,67453861,2640687,1601723,2038594,1814649
9850,284185172,188198928,76181107,2582118,1550930,1842035,2039711
9900,283802674,184709220,62446483,2633972,1789536,1767471,1871676
9950,294372275,203924436,85151375,2552957,1492643,1918370,2112670
10000,352060069,282632121,119344066,5143569,1834137,2990853,2254025
